,ques,ans,isBully
51,have u seen JUSTIN BIEBER in person , Nope I wish  bhut hey i might someday rite hahaHbu,Positive
52,Have you broken any bones  If so  how, Haha nahh ive just fractured some thumbs bhut itz all good lol,Positive
53,have you ever been on itellyouthatcom go there and tell something to the world D, Hahah OHKAY,Positive
54,have you ever had your heart broken, Yup yupP,Positive
55,hehe yup  its awesome  but the pronunciation is incredibly haaard D, haha it is haha lol man i hvnt even gotten  dat part yet FML hah,Positive
56,Hello bitch Hows ur day going Good I hope  its beautiful and sunny, Ohh heyy bitchh its goin goodD thx  askin,Positive
57,Hello My friend is also named April, Nicee,Positive
58,Hello, Hey  hows yah momma,Positive
59,Hellz yeahh of course im qoinqq i wannah b with you quys  like duhh, ahahaha It wuzz funn lmao,Positive
60,Hey my name is April too Haha People named April are always cool LOL, Hahaha Ohh cool wait are yuh thee april on twitter april haha yay We beasts yo haa,Positive
61,hey youre an amazing nice and sweet girlpretty too, AwwhhhThank yuh Jacob ur really nice Might be my new bestie  Thank YUH SO MUCH,Positive
62,Hey Why you such a bitch, Why thank yuh,Positive
63,Heyyy Abrilll iloveyhuuu muchooo, Heyy Marribbbiii lmao iloveyuhhh muchooo moeee are yuh goin tmrw,Positive
64,heyyyyyy how u doin, Im doing good thankyuhHeyyy hbu,Positive
65,heyyyyyyyywats up, Heyy ghurrr Wuzz upp haha nuttin much just busyy hbu ma,Positive
66,Hi April, Heyy D,Positive
67,how many languages do u speak, Umm i think  bhut english is my first im learnin french d hbu,Positive
68,how old are u  And how do you know michael, Who the hell are yuh And who tha fuck is michael,Positive
69,How would you describe your personality, Hmmmpersonal root word lol umm probss bubbly  nice  honestsumtyms,Positive
70,How would you describe yourself in  words, Myself Bubbly Funny,Positive
71,i love your hair, iLoveYou Thanks alot Bhut its alot  keep up wit Wanna trade haha,Positive
72,i love youu chica, NO no no I Love youuu moreee D haha,Positive
73,i love youuuuuuu , iFUCKINLoveyou xox ha,Positive
74,i speak english frensh and a little arabic cuz ive been to egypt a lotta times D, OMG really cool thats so awesome yeah i wanna learn more languages bhut french is already enuff  deal wit ha,Positive
75,I think ur not pretty Sorry, Oh thats wht i think too dnt be sorry hahaha Silly goose,Positive
76,im bored can you tell me something funny lool, Hahah ohhkayy lol Wht do you call a deer with no eyes I have no ideer haha Classic  umm i suck at this haha,Positive
77,IF U LIVE FOREVER WAT DO U LIVE FOR, IDKKKGOD Not understndin this  srry its like am hah,Positive
78,If you could ask Barack Obama one question what would it be, Oh snap I would actually hug him first off ahah and say Nigga where my weed go Hahaha jkjkjk i love him He is doin a great job,Positive
79,If you could ask George W Bush one question what would it be, Are you a lonely boy,Positive
80,If you could be a star athlete in any sport  which sport would you pick, Basketball,Positive
81,If you could be invited to one persons birthday party  whose would it be, JUSTIN BIEBERs Bday parrtayy haha,Positive
82,If you could be on one TV show which one would it be, Keeping up with the Kardashians or Kendra My FAV shows atmD,Positive
83,If you could become any fictional character  who would you be, ErrmmHarry potter lol,Positive
84,If you could change your name  what would you change it to, Thats a hard     thinkin Maybe Bustin Jieber I think haha,Positive
85,If you could date any celebrity  who would it be, Justin Bieber or Channing Tatum haha yumm,Positive
86,If you could eat dinner with any person  dead or alive  who would it be and where would you go, Michael Jacko and Subway Doh,Positive
87,If you could eliminate one thing you do each day in the bathroom so you never had to do it again  what would it be, Put my towels back on the fckn rack lol im  lazy  do it bhut it looks trashy when i keep it on tha floor,Positive
88,If you could go back in time  years and tell your younger self something  what would it be, Life is never going to be easy,Positive
89,If you could go on a road trip with any person  dead or alive  who would it be and where would you go, Justin BieberDuh  Russia ,Positive
90,If you could go on vacation for the next month with an unlimited budget  where would you go, I would so travel thee world  Visit my overseas besties then shop everywhere,Positive
91,If you could have an endless supply of any food  what would you get, StrawberryBanana Smoothies from Jack in the Box D Yah dig,Positive
92,If you could have been the author of any book  what would it have been, ALL thee twilight books chuz she got some good mula baby,Positive
93,If you could make one person fall in love with you who would it be, My Orthodontist docotr hahahaha Jkjk or am i lmao,Positive
94,If you could master one skill what would it be, To never sin bhut will NEVER happen See im already sinning  Never say never,Positive
95,If you could only listen to one song for the next month  which would it be, UpJustin Bieber,Positive
96,If you could only read one magazine for the rest of your life  which would it be, MMMag i love it,Positive
97,If you could rid the world of one thing  what would it be, HOEISHNESS lol um prob stupid bitches and SIN i just sinnedOpppzz,Positive
98,If you could wake up as anyone tomorrow  who would it be, MySelf,Positive
99,If you had to cook dinner for someone tonight  what would you make, Umm we would go to jackinthebox haha,Positive
100,If you had to give up one favorite food  what would the most difficult, Chocolate,Positive
101,If you had to perform at the circus  what trick would you do, Read between these three fingas haha,Positive
102,If you had your own talk show  who would your first three guests be, Justin Bieber Demi lovato and Barack Obama babayD,Positive
103,If you won a   shopping spree for any store  which store would you pick, Apple store Need a MAC pro,Positive
104,If you won a million dollars what would you do with it, Great question Tithe Help people Shop,Positive
105,If your house was on fire and you could only grab three things  what would they be, Laptop Dogs Family Shoes bed clothes coffee maker oven washerdryer refridgerator tablechairs pics camera bath tub HAHAhAHAHAHHAHA,Positive
106,iLove your nose ring, Awhh i love ur earrings,Positive
107,ilovee youuu bestfranhdd haa guesss whooo, ilovee maryyy rosseeee hickkksss LOL,Positive
108,ily, ily boo,Positive
109,Im good Juz got bak from the srip in vegas It was awesome I luved it Hav u evah been to vegas, Awhh Yuh so lucky ghurrI bet yuh had a BLAST  nahh ive never been bhut i would soo want to goD,Positive
110,Is TruAce single, YESSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS theee lasttt timeee Ask him httpwwwformspringmeTRUACE,Positive
111,justin bieber is my driving teacher oohh yessbahah we gonna be doing sumthing else instead of him teaching me how to drive lmao, HAHAHAHA TEACHIN HIM how to ur his stickshift Mwhahahahahaha i llalala love you best frann,Positive
112,lol oo noguurrrl u must be crazybc i love u muchoo, Uhhh lmao U got me lmao jkjk we can go on  like eva Lezzzdoooittt I Love you more than yo own momma AHHA,Positive
113,Love you baby , Love you More babe,Positive
114,love youu sexy thang, Mwahaha Thank yuh meh sexy bitch who is this haha,Positive
115,Mammaasss D how are you haha go to skype D, YOOOOOOOOOOOOOO Its Late haha i have church tmrw bhut soon kay srry,Positive
116,Miley  Bieber, Mileys a HOOCHIE BIEBER ALL THEE WAY GHURLor boy,Positive
117,NOPE IM NOT BIANCA EITHER heres a cluei come from new zealand LOL, Chrisssy hahahahah Chantelle  Alesha Kailee Tori LMFAO iddkkkkk,Positive
118,NOPEEE my name starts with b O, OMFG nooo wayyyy Ughhh BROOOKKKEEEEE OMFG im soo srry lmao lots of pplz r frmh ZEW ZEALAND lmao I fukkinnn luvv yuhhhh hahaha,Positive
119,OH VISIT ME IF YOU TRAVEL THE WORLD KTHXBYE xx, Hahah Helllz yess I will mamas love u,Positive
120,Omg Justin Bieber  haha, OMG ahhhh Where he go Damn it he just fell off my window sil haha jk,Positive
121,Rate yurself, I Love Justin Bieber Hes a  on a  scale HA,Positive
122,shut up ur pretttyll, Shut up your prettier ,Positive
123,Sneakers or sandals, Sandals suree D i wear them in thee winter  No lie haha,Positive
124,Sooooooo srry this is late im juzz doin mothur freakin boring zzzzzz zzzz snore snore LMBO, Hhahahahaah ohh noo problem mamas ahah me im soo exhaustedd yawn ywan LMAO,Positive
125,the girl on your background bottom right hand corner looks like anna maria perez de tagle,  Aww Yeahh she is my best friend  raphaela  Haha She is german so i guess thts why lmao ,Positive
126,tht woul b so cool if u were here so i can me u, Ikrr that wud be awesome I wish D,Positive
127,wat state do u live in, TexasYuh hun xox,Positive
128,Well dats so tight ur friends wit truace  How does it feel  kno him Since ur his friend u wud kno does he hav a gf, Ohhkayy First offf i was playin  i mean he is a really nice person dnt kno him like all that Bhut u should ask him,Positive
129,well u say any language so coba tebak ini bahasa apa kamu ngerti ngga aku ngomong apa , Huh That doesnt make sense  Guns something lmao Come again lol,Positive
130,What are you most excited about right now, Ummm SUMMER bein almost here Who isnt haha,Positive
131,What did you dream about last night, ShhDnt tell any k haha NOTHING MWAH,Positive
132,what do u guys prefer Jonas brothers or justin bieber, Ahhh I love em both but I would go for Justin Bieber Well because im older But I perfer them BOTH,Positive
133,What do you think about formspringme so far, Its da shit Fun stuff,Positive
134,What do you think is your most attractive feature, My eyes They are light brown and beautidul in the sun Thanks God oh and my hands and ass lol jkjK,Positive
135,What do you think was the greatest invention in your lifetime, Thee comp or cellfonne hehe,Positive
136,What kind of glasses do you have, Guess haha no its the brand name,Positive
137,What kind of music can you just not stand to listen to, I cannot listen to that Heavy metal I like me some rockoldies bhut not that scary shit D,Positive
138,What music are you listening to today, Everything really AHhaha Lovin my HipHop atm Ester Dean is thee shyyttt,Positive
139,What one thing are you exceptionally good at, Urgh   this is difficult to answer haha Umm prob fixing computers ha yes i said it im like a WIZ at fixin comps that MYSELF and MOM destroy AHAHA,Positive
140,What TV show do you wish would go off the air for good, The Hills Chuz Lauren was thee whole point it was clld thee Hills and there is much drama Bhut I still wtch it chuz i love  laugh at thee dumb shit Spencer is a prick btw,Positive
141,What was the best concert you went to, Jonas Brothers Concert  D I still love em bhut Justin bieber is thee shit,Positive
142,What was the happiest moment in your life, I have many many actually bhut i guess when i found my lifetime friends D,Positive
143,What was the last book you read, The Miracle Worker,Positive
144,What was the worst advice youve ever received, This person actually told me this fried i had was not a true friend and she wants me  still be this persons friend Thats a NONO,Positive
145,What was the worst concert you went to, Never been   tht was bad,Positive
146,What was the worst job youve ever had, I cant complain chuz i dnt have or had one hahaha soon though real soon ,Positive
147,What was the worst place youve traveled to, Georgia Columbus  b exact I Dislike it BORING Hotlanta is where its AT ,Positive
148,What was your favorite birthday gift, Life haha umm idk thats hard,Positive
149,What was your favorite toy to play with as a child, Now how the fuck am i suppose to remember that Weirdo maybe it was ur moms dick lOL,Positive
150,What was your favorite year,  haha when i was bornwas my year DohI didnt have  do ANYTHING on my own haha,Positive
151,What was your worst travel experience, HA goin to georgia just to see my dads mother Ugh i cnt stand her bhut God bless her soul LONG LIFE STORY haha,Positive
152,What website do you spend the most time on, Oh good   Twitter ofcousre i love me some twitter peeps They tha shit lol,Positive
153,What would be the best workplace perk, Idk wait WHaaaa lol,Positive
154,What would your perfect day look like, MeGod eatin Chicken wings on His throne  ahaha,Positive
155,Whats one food youll never eat again, Brussel srouts YuCkIE bhut i love cabbage and theyre mini cabbages LMAO,Positive
156,Whats one thing you own that you should probably throw away  but never will, My old school shit   i wud SOOO throw it away bhut my mom Urgh,Positive
157,Whats the best gift youve ever given, The important  is Love  bhut ive given people themselves Like i let my friends have themselves instead of me It helps to see who they are as a person Very important Viseversa,Positive
158,Whats the best place near you to get a drink, Hahaha Wait wht kind of drink LOL well JackInTheBox is like not evn a mile away frmh my house So there i guess thts wht ur askin lmao XP,Positive
159,Whats the best place near you to get some ice cream, HmmmU makin me hungry first of all  Dairy Queen YUMM,Positive
160,Whats the best place near you to get some ice cream, UmmDiary Queen or JackINTHEBOX  my smoothies of course not ice cream Mwah,Positive
161,Whats the furthest youve ever traveled, Virginia,Positive
162,Whats the longest youve ever gone without a bath or shower, Haha Maybe days lol idk,Positive
163,Whats the most delicious meal youve ever had, Wow this is a hard  i dnt think ive had  or i have many I love my smoothies tho YUMMIE,Positive
164,Whats the origin of your name, Idk its a month that  sure lol,Positive
165,Whats the weirdest thing youve ever eaten, A piece of grass,Positive
166,Whats the weirdest thing youve ever eaten, I Havent Gotten  that part haha,Positive
167,whats your best achievement, Wow awesome questionI think my best achievement would be Finding who i am thats thee most important,Positive
168,Whats your biggest phobia, ummmmmessy rooms,Positive
169,Whats your dream car, Something cute and ME haha you kno well a beamer is my dream car basically or a porshe,Positive
170,Whats your earliest memory, Haha Staring at my doctor thru sunglasses while he was in my mouth HAHAHA,Positive
171,whats your fave song, My fav song girly is umm Up  Running by jessicajarrell atm But i have lots  hbu,Positive
172,Whats your favorite drink, Mmm ROOT BEER haha my fav drink eva POW,Positive
173,Whats your favorite food, Actually its cabbageD,Positive
174,Whats your favorite genre of music, POP,Positive
175,Whats your favorite movie quote, Crap this is hard  haha umm People Need Inspiration The Last Song ,Positive
176,Whats your favorite type of flower, Pink Roses,Positive
177,whats your favourite colour, Pink  Neon green,Positive
178,whats your favourite movie,  Umm A walk to remember or The Last song Ugh theirs ALOT haha hbu,Positive
179,Whats yur fav color, PINKNEON GREENYeahh buddie,Positive
180,whats ur fav tv showww D , Umm   good question i have many bhut i guess  and pregnant would be  of my fav ones atm D,Positive
181,when ever you go to google translate  DONT USE IT trust me, Hahaha wht are u tlkn bout girl,Positive
182,When was the last time you gave flowers, Never,Positive
183,When you were a kid  what did you want to be when you grew up, Actually i was that kid who wanted to be by herself so i guess when i grow up im going to be ME lol Hard question  answer,Positive
184,Where are ya From, USA Known as Mars,Positive
185,Where would you like to spend your retirement, Hahawhen i turn  ish ask me this lol,Positive
186,where would you most like to live, Los Angeles ,Positive
187,wheres your ideal holiday destination, Umm Dallas Texas haha Idk im so plain so idk Mwhaha,Positive
188,Who and when was your first kiss, Umm Long time ago bhut i was like  or  haha Cory,Positive
189,who are your top three celebrity crushes, Yumm Justin Bieber Pdiddys son JDoir YUMMMhaha not really a celeb bhut yeah  Channing Fckn TATUMhaha Oh damn,Positive
190,Who are your Twitter besties, Ohh mann this is a GREAT  Chrissy Michelle Savannah AJ Bianca and lotss more  you,Positive
191,who decided to take a shit on your face, im not quite sure ill tell ya when i find out I promise,Positive
192,Who do you think should be the next president of the United States, Umm Barack Obama  another  years iLovehim,Positive
193,Who was the best teacher youve ever had, Mmmh My second grade teach Mrs Caldwell ,Positive
194,Whos the funniest person you know, Prob me or my seester robbie hahaha makes me wanna shit myself EVERYTIME she speaks lol,Positive
195,Whos the most famous person youve met, Urgh no yet Keep hopin though,Positive
196,Whos the most overrated athlete, Michael Jackson haha wait wrong one  Michael Jordon i meant ahah,Positive
197,whos the prettiest person you know, idkk mwauuuhhh,Positive
198,Whos the sexiest woman alive, I do not judge gyrls im not bi or a lezzboo K thanks,Positive
199,Whos the smartest person you know, JustinBSource  sure LMAO,Positive
200,Why do u follow the bandwagon Formspring Twitter Whats next gay Justin beiber, Well im not following anything and really BANDWAGON soo oldd Its more like trend these days Justin Bieber Idiot Cnt spell,Positive
201,Why do u like lil kids like Justin Beiber, Umm he has a bigga heart than you will EVER have so before you start to hate on a yr old that you obviously are addicted to  get your facts straight kay,Positive
202,Why do u like that beiber kid so much Hes lame and cant sing, Umm u kno wht WTF ever STOP HATIN,Positive
203,woaahhhhhh Likee dude im in youhr backround D AWESOMEEEE  ilybbyy,  Marryyyyy LOL itss yuhh boo Hahaha Noo durr suckkaaa Nahhh i loveee yuhhhh mooOee,Positive
204,would u ever go bungee jumping like justin did, Hahaha i think i would I always do thee same shizz all thee tyme so yes i would hbu  D,Positive
205,Would you rather be a famous musician or a famous actor, Not a guy haha maybe a cheerleader haha jkjk,Positive
206,Would you rather be a vampire or a werewolf, Werewolf AkA  Jacobs Pride lol His good part lol,Positive
207,Would you rather be a zombie or a mummy, Zombie sho,Positive
208,Would you rather be rich or famous, Famous Bhut im ME  rite now,Positive
209,Would you rather date a lot of different people  or be in a committed relationship, Both LOL jk,Positive
210,Would you rather get up early or sleep late, SLEEP LATEDuh,Positive
211,Would you rather own a luxury yacht or a private jet, JET Hate boats Worst experience ever was on a boat Never again,Positive
212,Would you rather swim in a pool or the ocean, Pool,Positive
213,Would you rather work at a large company or a small one, None haha,Positive
214,yea its different from warm cali  buts cool D weeeell gtg now  gonna meet some friends i a few minutes lolbye  xx, Ohh man i bet its tha shit Ohhkayy be safe have fun ,Positive
215,yeh you r right how should the  be i have no bf too, Yehh hahahaidkits weirdBoys r Boys So Im Mealone hahah,Positive
216,Yooooo mate   RinnaLovesJB here heyhey  ask me anything  , Hahaha ight,Positive
217,you need or should delete that  tweet Not funny at all you know how many people died that day including my father and brother, Ummim truly sorry bhut i didnt mean it in ANYWAY like u obviously got offended byand i said it wasnt funny So before you get all angry nd shit ill delete that tweet Kthanks btw RIP ur daddy and brother,Positive
218,your attitude is so fun , Thank yuh soo muchhD Im likin yurs  Mwah,Positive
219,D nada, ummm what u didnt know jose was my first kiss,Positive
220,O lol no freaking way btw  i didnt ask that D, no freaking way what,Positive
221,ahhh true true plus it plays music XD, Exactly,Positive
222,If you had to give up one favorite food  what would the most difficult, Ahh Probably Cookies D,Positive
223,Pshhh liar , haha im not a liar,Positive
224,What did you eat for breakfast today, Cereal,Positive
225,What do you think is your most attractive feature, Ewwiee Nothing haha,Positive
226,what is one thing you cant live without  its me right, Hahaha of c,Positive
227,What is your biggest accomplishment, Ummm probably playing softball for  years,Positive
228,What was your favorite birthday gift, a neckalce given to me by my love ,Positive
229,Whats the best place near you to get a drink, Starbuckks,Positive
230,Whats your favourite part to watch in Rent, hmmmm think the part where te guy at support sings tht part makes me tear up La ve boheme is a good one two,Positive
231,Whered you find out about formspringme, Umm Bunch of people just joined  and i got bored  so i wanted too,Positive
232,who was ur first kiss, umm haha i dont know why you want to kn,Positive
233,Why u so perfect , hahaha im the farthest from,Positive
234,Are you wearing the p, Im not wearing,Positive
235,Do you have a boyfriend, yess ,Positive
236,can you come to my party tonightt , who iss thiiis ,Positive
237,damn i hate shiiiit talkers on formspringgg i thought it was just a random question site thing, ahaha thankss kidd ndd yeah i knoo reallyy huhtheeree soo stupidd there to scaredd to sayy anythingg too myy face,Positive
238,i heart youu, ahahah ii loveeee yuuuu moreee,Positive
239,i lovee joiee, ii lovee yuuu moreeP,Positive
240,i wub you Joie,  ahaha hii ceara,Positive
241,is jon the person u like, noo itss nottt,Positive
242,Joie is beautifulllll , aww thankss yuu aree to,Positive
243,Joiieeeee I LaLaLovee Youu  , ahaha,Positive
244,lmao yurr reall funny skinny ass bitchh hm that isnt really much of an insult now is it what if i was fat lol u suck at talkn shit  later white trash skank  ur super ugly nd that guy u like really isnt gonna come back around for u laterrrr, ahhaha yuurr funnyy reall funny ndd i dntt want hatt guy too comee bckk too mee anyyy moreendd yeahh i suck at tlking shiti jstt dntt tlk shitt over thiss i wouldd tlk itt to yuurr face iff i knew whoo thiss wassBITCH gett a life ndd stopp worrying aboutt mines,Positive
245,lol how cute u have friends that back u up  doesnt matter ur still a fake bitch  go find a real bf not someone out of ur league lol ugly ass, wow yeahh im a fake bitch yuur thee onee thatss scaredd to sayy all thiiss shitt in myy facebitchhscard too gett fuckedd uuppp yurr reall funny skinny ass bitchh,Positive
246,piratees or ninjas Ahah, pirateesss ,Positive
247,really travis, watt yuu meann,Positive
248,shit talkin bitch, wow reallyy whyy aree yuu tlking all thiis shitt over thiiss formsprings ndd nott inn myy facee whooss thee pussy,Positive
249,still a bitch , oh wow okay butt yuurr thee onee thattss tlking shitttcuzz idntt evnn knoo whooo thiisss iss,Positive
250,Suck it, ahaha all readyy h,Positive
251,uhm i think i love me some freaking joie thasss right   D, ahahah ndd ii lovee mee alott off myy lil floricell ,Positive
252,What do you think is your most attractive feature, uhmmm ,Positive
253,Whats your favorite drink, lemenadeee,Positive
254,Who do you like, ummmahhh hottt seniorrr,Positive
255,Who is ur lover, welll forr righhtt noww no onee iss,Positive
256,Whos the most talented person you know, uhm ,Positive
257,why do u try so damn hard to fit in just be  your fucking self if you know how, ahahah funny,Positive
258,whyy aree youu suchh aa faggottt, ahahaha i noo,Positive
259,you a sexxyy mommma , Ahaha thanks,Positive
260,your such a slut vvv, umm okkkayy thankss,Positive
261,your ugly, oohhh well thanksss yuuur soo,Positive
262, I love you  youre so beautiful  I wanna be your boyfriend too, sure you do liar,Positive
263,I have one for your information WTF Thats MY LIFE  NOT YOURS You best think twice before you try to steal my stuff  bitch, BITCH WHO THE FUCK SAID I WAS STEALIING YOUR STUFF DUMB FUCK,Positive
264,Show your face Anonymous WTF You make no sense you fake ugly bitch, i never said i did,Positive
265, Stop hating on my page  kthx, why would i wanna hate on you,Positive
266,,  ,Positive
267,girlsCan you belly dancer guyscan you break dance, haha no,Positive
268,are you all you can say lmfaoo well  your fake everyone knows it  no need to go on about it sayoonarra, i can say more  IM NOT FAKE,Positive
269,, D,Positive
270, im sorry  im not the one being a fake of some lady lol comeon now  be your damn self  and im not fucking mental  i know what js means i think you need to stfu and get a damn life instead of beng on here and faking some girl  btw NICE COMEBACK, I didnt say you were mental i put that because some people dont what means duh Your comebacks suck too,Positive
271, you are fake though D  that makes no sense lolol why would you keep faking all these formsprings  your stuuupid p we all know the real ashlee girls formspring already  soo fuck off may you, bitch i aint fake she is,Positive
272, wow ashleeee your fakes amuse me lmao  okay  you are retarded to keep this page upp , your retarded,Positive
273, im very sexy  My fucking ass duuude that made me laugh so fucking hardd thanks for making my day D, your welcome faggot,Positive
274,r youre at the perfect age to learn how to suck dick and give hand jobs, SICKO,Positive
275,    you should call me, okay,Positive
276,ahaha my mom is dead  but thanks ugly ass bitch that NO BODY knows and has no life and has to talk shit on formspring to pretty girls that she is jelouse of  alright bitch, you aint pretty pshh dont make me laugh,Positive
277,and you called me fat why, i dont know Im sorry,Positive
278,are you fake, No are you,Positive
279,are you famous or something i havent heard of you x, Nopee,Positive
280,are you fat, nope,Positive
281,Are You Good At Hangman I Suck At It , no,Positive
282,are you mental she made a proof video you cant lie, are you,Positive
283,Are you ready to start school I am , yea ,Positive
284,are you single, yea,Positive
285,ashlee cyrus florida  Hey im ashlee im tired of everyone commenting on my damn formspring talking shit, okay,Positive
286,ashlee cyrusr cyrus is a lame last namer everyone knows if your a cyrus  you gotta be fake  and youre probably reall ugly in real lifer LMFAO, duh of course cyrus isnt my real last name its my fake last name,Positive
287,ashleeive had the biggest crush on you for awhile  i dont go on here a lot  but please message me on wwwfindersinglecom under the username wishfulthinker  please dont get all weird  , NO NO,Positive
288,Ask me anythInclude Your User Info   ing, who are u,Positive
289,baha  actually  im going to go on now  BITCH ARE YOU FUCKING STUPID  the REAL ashlee has a proof video  your dumb  your probably just some old man behind a computer screen go fuck yourself, nope,Positive
290,Basicc Information   Name  Age  Location  Grade , ashlee  florida th,Positive
291,best lil wayne song, umm idk,Positive
292,Best thing that happened to you this summer , nothing really,Positive
293,BETTY IS LIKE ADORABLE YOU LOOK LIKE A CRACK HEADS SHIT IN A TOILET MY DEAR, that doesnt even make sense,Positive
294,BITCH STFU AT LEAST I RECOGNIZE MYSELF NOT LYK U, should i care bitch,Positive
295,bob, pepe,Positive
296,but your fake, Im not fake ,Positive
297,Call me tomorrow at  AM, OK,Positive
298,Chick Are you a fucking lesbain, No are you,Positive
299,Chicken Or Hamburgers, chicken ,Positive
300,cuter, me,Positive
301,cyrus, stalker,Positive
302,do i even know you  and why the fuck are you leaving shit on my wall seriouslyget a life, cuz i felt like it  i have one,Positive
303,do i know you, Do I know you,Positive
304,Do words really hurt you, no,Positive
305,do you curse, yea,Positive
306,Do you hate when people give short boring answers to your questions, yea all the time,Positive
307,Do you know anyone who will do almost  anything for attention  , yea my sister,Positive
308,do you like adtf, yea,Positive
309,do you like bodtf, yea ,Positive
310,do you like nevershoutnever, kinda,Positive
311,Do you like to clean, yea i dont like it when its dirty,Positive
312,Do you like your name, yea ,Positive
